,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
29865,Luc Belaire,Brut (Rare) N.V.,3.8,Brut,Sparkling,N.V.,Bourgogne,France,34.99,,13,4,110,12
29866,Henri Dosnon,Brut Sélection Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,47.99,,13,4,192,12
29867,Luc Belaire,Luxe (Rare) N.V.,3.8,Sparkling,Sparkling,N.V.,Bourgogne,France,29.94,,77,4,110,12
29868,Val d'Oca,Valdobbiadene Prosecco Superiore Millesimato 2018,3.8,Prosecco,Sparkling,2018,Conegliano-Valdobbiadene Prosecco,Italy,21.99,,60,4,262,19
29869,Nautilus,Cuvée Brut N.V.,3.8,Brut,Sparkling,N.V.,Marlborough,New Zealand,44.99,,13,4,497,25
29870,Contratto,Millesimato Pas Dosé 2013,3.8,Sparkling,Sparkling,2013,Vino d'Italia,Italy,29.99,,77,4,912,19
29871,Collet,Blanc de Blancs Champagne N.V.,3.8,Blanc de Blanc,Sparkling,N.V.,Champagne,France,56.99,,8,4,192,12
29872,Lo Sparviere,Franciacorta Satèn N.V.,3.8,Sparkling,Sparkling,N.V.,Franciacorta,Italy,34.99,,77,4,358,19
29873,Bouquin Dupont,Blanc de Blancs Brut Champagne Grand Cru 'Avize' N.V.,3.8,Brut,Sparkling,N.V.,Champagne Grand Cru 'Avize',France,54.99,,13,4,195,12
29874,Trouillard,Cuvée Elexium Brut Brillant Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,50.0,,13,4,192,12
29875,Villa Jolanda,Moscato Rosé N.V.,3.8,Moscato,Sparkling,N.V.,Piemonte,Italy,10.99,,44,4,657,19
29876,Marquis de la Tour,Cuvée Spéciale Demi Sec N.V.,3.8,Sec,Sparkling,N.V.,Loire Valley,France,21.99,,72,4,468,12
29877,A to Z,Bubbles Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Oregon,United States,14.99,,67,4,620,36
29878,Scharffenberger,Brut Rosé Excellence N.V.,3.8,Brut,Sparkling,N.V.,Mendocino County,United States,20.0,,13,4,506,36
29879,Veuve Ambal,Grande Cuvée Crémant de Bourgogne Brut Rosé N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,19.99,,25,4,296,12
29880,Treveri,Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Columbia Valley,United States,15.99,,67,4,258,36
29881,Willm,Blanc de Blancs Brut N.V.,3.8,Brut,Sparkling,N.V.,Crémant d'Alsace,France,10.0,,13,4,294,12
29882,Gonet-Médeville,Extra Brut Rosé Champagne Premier Cru N.V.,3.8,Brut,Sparkling,N.V.,Champagne Premier Cru,France,51.99,,13,4,204,12
29883,Carpenè Malvolti,Cuvée Brut Rosé N.V.,3.8,Brut,Sparkling,N.V.,Veneto,Italy,23.99,,13,4,887,19
29884,Villa Marcello,Prosecco Millesimato Brut 2016,3.8,Brut,Sparkling,2016,Prosecco,Italy,15.99,,13,4,672,19
29885,Camille Braun,Crémant d'Alsace Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant d'Alsace,France,27.99,,25,4,294,12
29886,Marquis de la Tour,Brut Rosé N.V.,3.8,Brut,Sparkling,N.V.,Loire Valley,France,14.99,,13,4,468,12
29887,Boschendal,Brut Rosé (Chardonnay - Pinot Noir) N.V.,3.8,Pinot Noir,Sparkling,N.V.,Stellenbosch,South Africa,13.99,,57,4,820,31
29888,Jean Laurent,Blanc de Blancs Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,49.99,,13,4,192,12
29889,Acinum,Prosecco Extra Dry N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,11.95,,60,4,672,19
29890,Voirin-Jumel,Blanc de Noirs Brut Champagne Premier Cru N.V.,3.8,Blanc de Noir,Sparkling,N.V.,Champagne Premier Cru,France,39.99,,9,4,204,12
29891,Botter,Prosecco di Maria N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,15.99,,60,4,672,19
29892,Paul Buisse,Crémant de Loire N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Loire,France,15.99,,25,4,298,12
29893,Le Contesse,Single Fermentation Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,13.99,,60,4,672,19
29894,Antonutti,Collevento 921 Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,19.99,,60,4,672,19
29895,Lombard & Cie,Brut Nature Champagne Grand Cru N.V.,3.8,Brut,Sparkling,N.V.,Champagne Grand Cru,France,84.99,,13,4,193,12
29896,Markus Huber,Hugo Sparkling Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Niederösterreich,Austria,14.99,,67,4,597,3
29897,Laherte Freres,Ultradition Blanc de Blancs Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,43.99,,13,4,192,12
29898,Barone Pizzini,Franciacorta Nature Edizione 2014,3.8,Sparkling,Sparkling,2014,Franciacorta,Italy,38.99,,77,4,358,19
29899,Sumarroca,Cava Brut Nature Gran Reserva 2014,3.8,Brut,Sparkling,2014,Cava,Spain,15.99,,13,4,151,32
29900,Francois Baur,Crémant d'Alsace Brut Réserve N.V.,3.8,Crémant,Sparkling,N.V.,Crémant d'Alsace,France,23.99,,25,4,294,12
29901,Saint-Hilaire,Brut 2017,3.8,Brut,Sparkling,2017,Blanquette de Limoux,France,16.99,,13,4,100,12
29902,Veuve Clicquot,Rich Champagne N.V.,3.8,Champagne,Sparkling,N.V.,Champagne,France,64.99,,19,4,192,12
29903,Tribaut Schloesser,Brut Rosé Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,47.99,,13,4,192,12
29904,Charles Ellner,Rosé Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,39.99,,13,4,192,12
29905,Mionetto,Il Moscato N.V.,3.8,Moscato,Sparkling,N.V.,Veneto,Italy,11.99,,44,4,887,19
29906,Tiziano,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,11.99,,60,4,672,19
